project_id,reporting_month,project_length_km,original_contract_value_inr_cr,planned_duration_months,months_since_start,state,project_type,contractor,planned_physical_progress_pct,actual_physical_progress_pct,physical_progress_variance_pct,planned_financial_progress_pct,actual_financial_progress_pct,financial_progress_variance_pct,planned_cost_to_date_inr_cr,actual_expenditure_inr_cr,actual_cost_to_date_inr_cr,material_cost_inr_cr,labour_cost_inr_cr,equipment_cost_inr_cr,variation_cost_inr_cr,delay_related_cost_inr_cr,contractor_productivity_factor,land_acquisition_delay_days,utility_shifting_delay_days,environment_clearance_delay_days,material_delay_days,labour_shortage_days,equipment_unavailability_days,weather_disruption_days,traffic_diversion_delay_days,design_change_delay_days,approval_delay_days,expenditure_gap_inr_cr,cost_tracking_gap_inr_cr,delay_factor_count,delay_factor_severity,project_age_ratio,months_to_planned_completion,schedule_pressure,progress_efficiency,cost_growth_rate,recent_progress_trend_3m,recent_cost_trend_3m,consecutive_underperforming_months,recent_adverse_events_3m,is_terminal_snapshot,final_cost_overrun_pct,cost_overrun
HRI-0112,2021-07,15.02,423.96,15,15,Jharkhand,Bypass/Ring Road,Prakash Constructions Pvt Ltd,100.0,90.17,-9.83,100.0,87.61,-12.39,423.96,371.43,404.43,220.97,102.61,72.7,6.74,1.41,0.947,39.5,19.4,0.0,7.6,0.0,1.7,29.8,2.4,1.7,6.5,-52.52999999999997,-33.0,8.0,108.60000000000001,1.0,0,9.829999999999998,0.9017000000000001,0.953934333427682,6.253333333333335,27.459999999999997,1,3.0,False,6.77,0
HRI-0112,2021-08,15.02,423.96,15,16,Jharkhand,Bypass/Ring Road,Prakash Constructions Pvt Ltd,100.0,96.23,-3.77,100.0,93.78,-6.22,423.96,397.6,429.99,235.59,108.23,77.98,,1.45,0.978,39.5,19.4,0.0,7.6,0.0,1.7,32.4,2.4,1.7,6.5,-26.359999999999957,-32.389999999999986,8.0,111.2,1.0666666666666667,-1,3.769999999999996,0.9623,1.0142230399094254,6.310000000000002,27.786666666666672,2,3.0,False,6.77,0
HRI-0112,2021-09,15.02,423.96,15,17,Jharkhand,Bypass/Ring Road,Prakash Constructions Pvt Ltd,100.0,100.0,0.0,100.0,99.17,-0.83,423.96,420.44,452.68,248.04,113.61,82.65,6.74,1.63,0.947,39.5,19.4,0.0,7.6,11.4,1.7,44.3,2.4,1.7,6.5,-3.519999999999982,-32.24000000000001,9.0,134.5,1.1333333333333333,-2,0.0,1.0,1.0677422398339467,5.260000000000001,24.896666666666665,3,3.0,True,6.77,0
HRI-0113,2023-08,20.5,534.28,15,1,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,1.27,5.32,4.04,1.27,5.1,3.82,6.81,27.23,32.66,17.16,8.58,6.86,0.0,0.05,0.898,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,20.42,-5.429999999999996,1.0,3.6,0.06666666666666667,14,6.762857142857143,4.1889763779527565,4.795888399412628,5.32,32.66,1,1.0,False,18.83,1
HRI-0113,2023-09,20.5,534.28,15,2,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,4.86,11.17,6.31,4.86,10.53,5.67,25.96,56.26,86.53,35.04,17.53,13.9,19.97,0.1,0.859,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,12.6,30.299999999999997,-30.270000000000003,2.0,19.0,0.13333333333333333,13,6.833076923076923,2.2983539094650203,3.3332049306625575,5.585,43.265,2,2.0,False,18.83,1
HRI-0113,2023-10,20.5,534.28,15,3,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,10.4,16.31,5.91,10.4,15.43,5.03,55.57,82.46,118.77,52.93,25.47,20.29,19.97,0.12,0.856,0.0,0.0,0.0,0.0,1.8,0.0,7.1,0.0,0.0,12.6,26.889999999999993,-36.31,3.0,21.5,0.2,12,6.974166666666666,1.5682692307692305,2.1373043008817705,5.4366666666666665,39.589999999999996,3,3.0,False,18.83,1
HRI-0113,2023-11,20.5,534.28,15,4,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,17.54,22.11,4.57,17.54,20.91,3.37,93.72,111.71,151.84,71.31,34.47,25.94,19.97,0.15,0.876,0.0,1.2,0.0,0.0,1.8,0.0,7.5,0.0,0.0,12.6,17.989999999999995,-40.13000000000001,4.0,23.1,0.26666666666666666,11,7.080909090909091,1.2605473204104904,1.6201451131028597,5.596666666666667,39.72666666666667,4,3.0,False,18.83,1
HRI-0113,2023-12,20.5,534.28,15,5,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,25.93,28.46,2.54,25.93,27.05,1.13,138.52,144.55,195.78,95.96,46.2,33.5,19.97,0.16,0.924,0.0,1.2,0.0,0.0,1.8,0.0,8.2,0.0,0.0,12.6,6.030000000000001,-51.22999999999999,4.0,23.799999999999997,0.3333333333333333,10,7.153999999999999,1.0975703817971463,1.4133699104822408,5.763333333333333,36.416666666666664,5,3.0,False,18.83,1
HRI-0113,2024-01,20.5,534.28,15,6,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,35.2,33.6,-1.6,35.2,32.03,-3.17,188.07,171.14,225.87,112.08,54.59,39.04,19.97,0.18,0.911,0.0,1.2,0.0,0.0,1.8,0.0,,0.0,0.0,12.6,-16.930000000000007,-54.73000000000002,,,0.4,9,7.377777777777778,0.9545454545454545,1.200988993459882,5.7633333333333345,35.7,6,2.0,False,18.83,1
HRI-0113,2024-02,20.5,534.28,15,7,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,45.01,40.13,-4.88,45.01,38.3,-6.71,240.47,204.64,266.07,134.39,64.54,46.93,19.97,0.25,0.967,0.0,7.1,0.0,0.0,1.8,0.0,9.9,1.8,0.0,12.6,-35.83000000000001,-61.43000000000001,5.0,33.2,0.4666666666666667,8,7.48375,0.8915796489668963,1.1064581860523142,6.006666666666668,38.07666666666666,7,2.0,False,18.83,1
HRI-0113,2024-03,20.5,534.28,15,8,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,54.99,45.67,-9.32,54.99,43.7,-11.29,293.81,233.49,296.64,151.29,71.92,53.19,19.97,0.27,0.912,0.0,7.1,0.0,0.0,1.8,0.0,11.2,1.8,0.0,12.6,-60.31999999999999,-63.14999999999998,5.0,34.5,0.5333333333333333,7,7.761428571428572,0.8305146390252773,1.0096320751506074,5.736666666666667,33.62,8,2.0,False,18.83,1
HRI-0113,2024-04,20.5,534.28,15,9,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,64.8,51.88,-12.92,64.8,49.72,-15.08,346.21,265.64,336.4,173.81,81.45,60.87,19.97,0.29,0.918,0.0,7.1,0.0,0.0,1.8,0.0,13.0,1.8,0.0,12.6,-80.57,-70.75999999999999,5.0,36.300000000000004,0.6,6,8.02,0.8006172839506174,0.9716645966321019,6.093333333333334,36.84333333333333,9,3.0,False,18.83,1
HRI-0113,2024-05,20.5,534.28,15,10,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,74.07,58.78,-15.29,74.07,56.7,-17.38,395.76,302.91,376.53,196.73,92.24,67.3,19.97,0.29,0.953,0.0,7.1,0.0,0.0,1.8,0.0,13.0,1.8,0.0,12.6,-92.84999999999997,-73.61999999999995,5.0,36.300000000000004,0.6666666666666666,5,8.244,0.7935736465505604,0.9514099454214675,6.216666666666666,36.81999999999999,0,2.0,False,18.83,1
HRI-0113,2024-06,20.5,534.28,15,11,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,82.46,64.75,-17.71,82.46,62.88,-19.58,440.56,335.95,407.99,214.45,100.2,73.05,19.97,0.31,0.898,0.0,7.1,0.0,0.0,1.8,0.0,14.3,1.8,0.0,12.6,-104.61000000000001,-72.04000000000002,5.0,37.6,0.7333333333333333,4,8.8125,0.7852292020373515,0.9260713637189032,6.359999999999999,37.116666666666674,1,2.0,False,18.83,1
HRI-0113,2024-07,20.5,534.28,15,12,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,89.6,70.86,-18.74,89.6,69.42,-20.18,478.71,370.9,445.42,236.18,109.32,79.59,19.97,0.36,0.932,0.0,7.1,0.0,0.0,1.8,0.0,17.4,1.8,0.0,12.6,-107.81,-74.52000000000004,5.0,40.7,0.8,3,9.713333333333333,0.7908482142857143,0.9304589417392577,6.326666666666665,36.34000000000001,2,2.0,False,18.83,1
HRI-0113,2024-08,20.5,534.28,15,13,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,95.14,78.65,-16.49,95.14,77.51,-17.63,508.32,414.11,491.74,261.84,120.51,88.99,19.97,0.42,1.006,0.0,7.1,0.0,0.0,1.8,0.0,21.0,1.8,0.0,12.6,-94.20999999999998,-77.63,5.0,44.300000000000004,0.8666666666666667,2,10.674999999999997,0.8266764767710743,0.9673827510229777,6.623333333333335,38.40333333333334,0,3.0,False,18.83,1
HRI-0113,2024-09,20.5,534.28,15,14,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,98.73,84.75,-13.97,98.73,84.0,-14.73,527.47,448.78,527.39,281.45,129.27,96.18,19.97,0.52,0.948,0.0,7.1,0.0,0.0,1.8,0.0,28.2,1.8,0.0,12.6,-78.69000000000005,-78.61000000000001,5.0,51.5,0.9333333333333333,1,15.25,0.8584017016104527,0.9998483326065937,6.666666666666667,39.79999999999999,1,3.0,False,18.83,1
HRI-0113,2024-10,20.5,534.28,15,15,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,100.0,90.24,-9.76,100.0,90.01,-9.99,534.28,480.9,562.05,301.78,137.15,102.56,19.97,0.6,0.877,0.0,7.1,0.0,5.6,1.8,0.0,28.9,1.8,0.0,12.6,-53.379999999999995,-81.14999999999998,6.0,57.800000000000004,1.0,0,9.760000000000005,0.9024,1.0519764917271843,6.459999999999998,38.876666666666644,2,3.0,False,18.83,1
HRI-0113,2024-11,20.5,534.28,15,16,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,100.0,96.0,-4.0,100.0,96.12,-3.88,534.28,513.58,599.97,323.73,147.21,108.39,19.97,0.67,0.818,0.0,7.1,0.0,5.6,1.8,0.2,32.5,1.8,0.0,12.6,-20.699999999999932,-86.38999999999999,7.0,61.6,1.0666666666666667,-1,4.0,0.96,1.1229505128397097,5.783333333333331,36.076666666666675,3,3.0,False,18.83,1
HRI-0113,2024-12,20.5,534.28,15,17,Jharkhand,Bypass/Ring Road,Deccan Constructions Pvt Ltd,100.0,100.0,0.0,100.0,100.0,0.0,534.28,534.28,634.9,344.16,155.23,114.86,19.97,0.68,0.899,0.0,7.1,0.0,5.6,1.8,0.2,33.5,1.8,0.0,12.6,0.0,-100.62,7.0,62.6,1.1333333333333333,-2,0.0,1.0,1.1883282174140901,5.083333333333333,35.836666666666666,4,3.0,True,18.83,1
HRI-0114,2020-07,22.52,239.82,12,1,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,1.97,7.52,5.55,1.97,,,4.72,,14.36,8.02,3.61,2.55,0.0,0.18,1.115,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,,,1.0,16.1,0.08333333333333333,11,8.407272727272728,3.817258883248731,3.042372881355932,7.52,14.36,1,1.0,False,-10.32,0
HRI-0114,2020-08,22.52,239.82,12,2,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,7.41,15.22,7.82,7.41,14.85,7.44,17.76,35.6,29.3,15.72,7.61,5.59,0.0,0.38,1.059,0.0,7.2,0.0,0.0,0.0,0.0,19.9,5.0,0.0,0.0,17.84,6.300000000000001,3.0,32.1,0.16666666666666666,10,8.478,2.0539811066126856,1.6497747747747746,7.61,14.65,2,2.0,False,-10.32,0
HRI-0114,2020-09,22.52,239.82,12,3,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,15.62,24.8,9.18,15.62,23.96,8.33,37.47,57.46,53.42,27.75,13.07,9.84,2.36,0.39,1.106,0.0,7.2,0.0,0.0,0.0,0.0,20.4,5.0,0.0,4.5,19.990000000000002,4.039999999999999,4.0,37.1,0.25,9,8.355555555555556,1.5877080665813061,1.4256738724312785,8.266666666666667,17.80666666666667,0,3.0,False,-10.32,0
HRI-0114,2020-10,22.52,239.82,12,4,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,25.93,33.73,7.81,25.93,32.58,6.65,62.18,78.13,71.19,37.31,17.41,13.72,2.36,0.39,1.08,0.0,7.2,0.0,0.0,0.0,0.0,20.6,5.0,0.0,4.5,15.949999999999996,6.939999999999998,4.0,37.300000000000004,0.3333333333333333,8,8.283750000000001,1.3008098727342845,1.1449018977163075,8.736666666666666,18.94333333333333,0,3.0,False,-10.32,0
HRI-0114,2020-11,22.52,239.82,12,5,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,37.62,41.32,3.7,37.62,39.75,2.13,90.21,95.33,87.46,45.95,21.62,16.75,2.36,0.77,1.144,0.0,28.8,0.0,0.0,0.0,,20.7,5.0,0.0,4.5,5.1200000000000045,7.8700000000000045,,,0.4166666666666667,7,8.382857142857143,1.0983519404572037,0.9695155747699812,8.700000000000001,19.386666666666667,1,2.0,False,-10.32,0
HRI-0114,2020-12,22.52,239.82,12,6,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,50.0,50.12,0.12,50.0,47.93,-2.07,119.91,114.95,106.12,55.76,26.45,20.73,2.36,0.81,1.114,0.0,28.8,0.0,0.0,0.0,0.0,21.8,8.0,0.0,4.5,-4.959999999999994,8.829999999999998,4.0,63.1,0.5,6,8.313333333333334,1.0024,0.8849970811441915,8.44,17.566666666666666,0,2.0,False,-10.32,0
HRI-0114,2021-01,22.52,239.82,12,7,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,62.38,58.38,-4.0,62.38,54.95,-7.43,149.61,131.79,124.25,66.54,30.82,23.67,2.36,0.85,1.148,0.0,28.8,0.0,0.0,0.0,2.8,23.2,8.0,0.0,4.5,-17.82000000000002,7.539999999999992,5.0,67.3,0.5833333333333334,5,8.324,0.9358768836165438,0.8304926141300715,8.216666666666669,17.686666666666667,1,2.0,False,-10.32,0
HRI-0114,2021-02,22.52,239.82,12,8,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,74.07,68.4,-5.68,74.07,63.47,-10.61,177.64,152.2,145.3,77.68,36.52,27.84,2.36,0.89,1.185,0.0,28.8,0.0,0.0,0.0,2.8,26.2,8.0,0.0,4.5,-25.439999999999998,6.899999999999977,5.0,70.3,0.6666666666666666,4,7.899999999999999,0.9234507897934388,0.8179464084665617,9.026666666666669,19.280000000000005,0,3.0,False,-10.32,0
HRI-0114,2021-03,22.52,239.82,12,9,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,84.38,78.15,-6.23,84.38,71.76,-12.62,202.35,172.08,163.27,87.17,41.28,31.56,2.36,0.9,1.146,0.0,28.8,0.0,0.0,0.0,2.8,26.8,8.0,0.0,4.5,-30.269999999999982,8.810000000000002,5.0,70.89999999999999,0.75,3,7.283333333333331,0.9261673382318086,0.8068692858907833,9.343333333333335,19.05,0,3.0,False,-10.32,0
HRI-0114,2021-04,22.52,239.82,12,10,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,92.59,86.42,-6.17,92.59,78.9,-13.69,222.06,189.23,179.52,95.73,45.48,35.01,2.36,0.94,1.063,0.0,28.8,0.0,0.0,0.0,2.8,29.3,8.0,0.0,4.5,-32.83000000000001,9.70999999999998,5.0,73.39999999999999,0.8333333333333334,2,6.789999999999999,0.9333621341397559,0.8084301540124291,9.346666666666666,18.423333333333336,1,3.0,False,-10.32,0
HRI-0114,2021-05,22.52,239.82,12,11,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,98.03,95.7,-2.33,98.03,86.84,-11.19,235.1,208.26,196.91,106.26,49.59,37.75,2.36,0.95,1.142,0.0,28.8,0.0,0.0,0.0,2.8,30.8,8.0,0.0,4.5,-26.840000000000003,11.349999999999994,5.0,74.89999999999999,0.9166666666666666,1,4.299999999999997,0.9762317657859839,0.8375584857507443,9.1,17.20333333333333,0,3.0,False,-10.32,0
HRI-0114,2021-06,22.52,239.82,12,12,Haryana,Road Widening (2 to 4 lane),Sunrise Highways Ltd,100.0,100.0,0.0,100.0,94.24,-5.76,239.82,226.02,215.06,116.73,53.9,40.96,2.36,1.11,1.14,0.0,28.8,0.0,0.0,0.0,2.8,47.0,8.0,0.0,4.5,-13.799999999999983,10.960000000000008,5.0,91.1,1.0,0,0.0,1.0,0.8967559002585272,7.283333333333331,17.263333333333332,1,3.0,True,-10.32,0
HRI-0115,2020-08,25.8,148.9,13,1,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,1.68,7.41,5.72,1.68,7.07,5.39,2.51,10.53,9.21,5.05,2.38,1.66,0.0,0.12,0.993,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.02,1.3199999999999985,1.0,7.0,0.07692307692307693,12,7.715833333333333,4.410714285714286,3.6693227091633474,7.41,9.21,1,1.0,False,11.87,1
HRI-0115,2020-09,25.8,148.9,13,2,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,6.37,14.29,7.92,6.37,13.55,7.18,9.49,20.18,20.05,10.97,5.16,3.58,0.0,0.34,0.959,0.0,5.4,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,10.69,0.129999999999999,2.0,21.3,0.15384615384615385,11,7.791818181818183,2.2433281004709573,2.112750263435195,7.145,10.025,2,2.0,False,11.87,1
HRI-0115,2020-10,25.8,148.9,13,3,Assam,Road Widening (2 to 4 lane),,13.52,22.06,8.54,13.52,20.98,7.46,20.13,31.24,31.56,17.89,7.9,5.4,0.0,0.36,0.916,0.0,5.4,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,11.11,-0.3200000000000003,2.0,23.9,0.23076923076923078,10,7.794,1.6316568047337279,1.5678092399403876,7.353333333333333,10.52,0,3.0,False,11.87,1
HRI-0115,2020-11,25.8,148.9,13,4,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,22.58,29.16,6.58,22.58,27.75,5.17,33.62,41.31,43.09,24.17,10.79,7.72,0.0,0.41,0.935,0.0,5.4,0.0,0.0,0.0,0.0,19.1,3.1,0.0,0.0,7.690000000000005,-1.7800000000000011,3.0,27.6,0.3076923076923077,9,7.871111111111111,1.2914083259521703,1.2816775728732899,7.25,11.293333333333335,1,3.0,False,11.87,1
HRI-0115,2020-12,25.8,148.9,13,5,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,33.0,34.4,1.4,33.0,32.78,-0.22,49.14,48.81,50.87,28.44,12.67,9.29,0.0,0.47,1.01,4.8,5.4,0.0,0.0,0.0,0.0,19.3,3.1,0.0,0.0,-0.3299999999999983,-2.059999999999995,4.0,32.6,0.38461538461538464,8,8.2,1.0424242424242425,1.0352055352055352,6.703333333333333,10.273333333333332,2,3.0,False,11.87,1
HRI-0115,2021-01,25.8,148.9,13,6,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,44.24,42.38,-1.86,44.24,40.63,-3.61,65.88,60.5,62.81,35.24,15.61,11.45,0.0,0.51,1.018,4.8,5.4,0.0,0.0,0.0,0.0,22.4,3.1,0.0,0.0,-5.3799999999999955,-2.3100000000000023,4.0,35.7,0.46153846153846156,7,8.231428571428571,0.9579566003616636,0.9534001214329084,6.773333333333334,10.416666666666668,0,3.0,False,11.87,1
HRI-0115,2021-02,25.8,148.9,13,7,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,55.76,49.52,-6.24,55.76,47.25,-8.51,83.02,70.35,84.32,41.91,18.36,13.56,9.95,0.54,1.047,4.8,5.4,0.0,1.3,0.0,0.0,23.6,3.1,28.9,0.0,-12.670000000000002,-13.969999999999999,6.0,67.1,0.5384615384615384,6,8.413333333333332,0.8880918220946916,1.0156588773789448,6.786666666666668,13.74333333333333,1,3.0,False,11.87,1
HRI-0115,2021-03,25.8,148.9,13,8,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,67.0,57.8,-9.2,67.0,,,99.76,,96.55,48.52,21.77,15.74,9.95,0.57,1.077,4.8,5.4,0.0,1.3,0.0,0.0,,3.1,28.9,0.0,,,,,0.6153846153846154,5,8.440000000000001,0.862686567164179,0.967822774659182,7.8,15.226666666666667,0,2.0,False,11.87,1
HRI-0115,2021-04,25.8,148.9,13,9,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,77.42,65.14,-12.28,77.42,60.71,-16.71,115.28,90.4,107.22,55.0,24.2,17.48,9.95,0.59,1.094,4.8,5.4,0.0,1.3,0.0,0.0,27.2,3.1,28.9,0.0,-24.879999999999995,-16.819999999999993,6.0,70.69999999999999,0.6923076923076923,4,8.715,0.841384655127874,0.9300832755031229,7.586666666666666,14.803333333333333,1,2.0,False,11.87,1
HRI-0115,2021-05,25.8,148.9,13,10,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,86.48,73.48,-13.0,86.48,,,128.77,,120.09,61.57,27.71,20.22,9.95,0.65,1.075,4.8,5.4,0.0,4.3,0.0,0.0,27.4,3.1,28.9,0.0,,,6.0,73.9,0.7692307692307693,3,8.839999999999998,0.8496762257169288,0.9325929952628718,7.986666666666667,11.923333333333337,0,2.0,False,11.87,1
HRI-0115,2021-06,25.8,148.9,13,11,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,93.63,82.28,-11.35,93.63,76.39,-17.24,139.41,113.74,134.48,68.89,31.44,23.3,9.95,0.9,1.074,4.8,5.4,0.0,4.3,0.0,0.0,45.7,3.1,28.9,0.0,-25.67,-20.739999999999995,6.0,92.2,0.8461538461538461,2,8.86,0.8787781693901527,0.9646366831647657,8.160000000000002,12.64333333333333,0,3.0,False,11.87,1
HRI-0115,2021-07,25.8,148.9,13,12,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,98.32,89.8,-8.51,98.32,83.34,-14.97,146.39,124.1,145.58,74.92,34.14,25.53,9.95,1.04,1.002,4.8,5.4,0.0,4.3,0.0,0.0,54.6,3.1,28.9,0.0,-22.289999999999992,-21.480000000000018,6.0,101.1,0.9230769230769231,1,10.200000000000003,0.9133441822620016,0.9944668351663367,8.219999999999999,12.78666666666667,1,3.0,False,11.87,1
HRI-0115,2021-08,25.8,148.9,13,13,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,100.0,96.16,-3.84,100.0,89.31,-10.69,148.9,132.98,155.65,80.35,36.89,27.39,9.95,1.08,0.905,4.8,5.4,0.0,4.3,0.0,0.0,56.4,3.1,28.9,0.0,-15.920000000000016,-22.670000000000016,6.0,102.9,1.0,0,3.8400000000000034,0.9616,1.0453324378777704,7.559999999999998,11.853333333333333,2,3.0,False,11.87,1
HRI-0115,2021-09,25.8,148.9,13,14,Assam,Road Widening (2 to 4 lane),Vindhya Roadways Pvt Ltd,100.0,100.0,0.0,100.0,96.39,-3.61,148.9,143.52,166.58,86.34,39.76,29.41,9.95,1.13,0.972,4.8,5.4,0.0,4.3,0.0,0.0,61.6,3.1,28.9,0.0,-5.3799999999999955,-23.060000000000002,6.0,108.1,1.0769230769230769,-1,0.0,1.0,1.1187374076561452,5.906666666666666,10.700000000000008,3,3.0,True,11.87,1
HRI-0116,2021-03,11.78,360.98,15,1,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,1.27,5.38,4.11,1.27,5.45,4.18,4.6,19.68,19.89,11.67,4.93,3.15,0.0,0.13,0.921,10.7,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,15.08,-0.21000000000000085,2.0,11.5,0.06666666666666667,14,6.758571428571429,4.2362204724409445,4.323913043478261,5.38,19.89,1,1.0,False,11.73,1
HRI-0116,2021-04,11.78,360.98,15,2,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,4.86,12.69,7.84,4.86,13.05,8.19,17.54,47.1,49.27,28.33,12.92,7.86,0.0,0.16,1.0,10.7,0.0,0.0,0.0,2.1,0.0,0.8,0.0,0.0,0.0,29.560000000000002,-2.1700000000000017,3.0,13.6,0.13333333333333333,13,6.716153846153846,2.6111111111111107,2.8090079817559865,6.345,24.635,0,2.0,False,11.73,1
HRI-0116,2021-05,11.78,360.98,15,3,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,10.4,18.06,7.66,10.4,18.5,8.1,37.54,66.78,72.67,39.28,17.88,11.29,3.91,0.31,1.008,21.1,0.0,0.0,0.0,2.1,0.0,1.0,0.0,5.6,0.0,29.240000000000002,-5.890000000000001,4.0,29.800000000000004,0.2,12,6.828333333333333,1.7365384615384614,1.9358018114011721,6.02,24.223333333333333,1,3.0,False,11.73,1
HRI-0116,2021-06,11.78,360.98,15,4,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,17.54,23.16,5.62,17.54,23.61,6.07,63.32,85.23,93.99,49.93,23.24,15.3,,0.46,0.975,21.1,0.0,0.0,0.0,2.1,0.0,13.6,0.0,7.9,0.0,21.910000000000004,-8.759999999999991,4.0,44.699999999999996,0.26666666666666666,11,6.985454545454545,1.3204104903078677,1.4843651295009475,5.926666666666667,24.7,2,3.0,False,11.73,1
HRI-0116,2021-07,11.78,360.98,15,5,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,25.93,28.25,2.32,25.93,28.48,2.56,93.59,102.82,113.01,60.08,28.0,19.23,5.06,0.64,0.895,32.1,0.0,0.0,0.0,2.1,0.0,23.8,0.0,7.9,0.0,9.22999999999999,-10.190000000000012,4.0,65.9,0.3333333333333333,10,7.175,1.0894716544543,1.2075008013676676,5.1866666666666665,21.246666666666666,3,3.0,False,11.73,1
HRI-0116,2021-08,11.78,360.98,15,6,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,35.2,32.69,-2.51,35.2,32.63,-2.57,127.06,117.8,141.04,70.04,32.13,22.47,15.46,0.94,0.886,32.1,8.9,0.0,7.9,2.1,0.0,35.4,0.0,17.0,0.0,-9.260000000000005,-23.239999999999995,6.0,103.4,0.4,9,7.478888888888889,0.9286931818181817,1.1100267590114905,4.876666666666666,22.789999999999996,4,3.0,False,11.73,1
HRI-0116,2021-09,11.78,360.98,15,7,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,45.01,38.77,-6.24,45.01,38.2,-6.8,162.47,137.91,162.82,82.98,37.52,25.89,15.46,0.97,0.887,32.1,8.9,0.0,7.9,2.1,0.0,37.8,0.0,17.0,0.0,-24.560000000000002,-24.909999999999997,6.0,105.8,0.4666666666666667,8,7.65375,0.8613641413019331,1.002154243860405,5.203333333333334,22.94333333333333,5,3.0,False,11.73,1
HRI-0116,2021-10,11.78,360.98,15,8,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,54.99,45.83,-9.16,54.99,44.88,-10.12,198.51,162.0,187.37,96.99,43.35,30.58,15.46,1.0,0.865,32.1,8.9,0.0,7.9,2.1,0.0,39.3,0.0,17.0,0.0,-36.50999999999999,-25.370000000000005,6.0,107.3,0.5333333333333333,7,7.738571428571428,0.8334242589561738,0.9438819203062818,5.859999999999999,24.786666666666665,0,3.0,False,11.73,1
HRI-0116,2021-11,11.78,360.98,15,9,Assam,Bypass/Ring Road,Malwa Builders Pvt Ltd,64.8,51.3,-13.5,64.8,49.73,-15.07,233.92,179.5,213.07,108.54,48.2,34.63,20.57,1.12,0.855,32.1,8.9,0.0,7.9,2.1,0.0,40.1,11.9,17.0,5.8,-54.41999999999999,-33.56999999999999,8.0,125.8,0.6,6,8.116666666666667,0.7916666666666666,0.9108669630642955,6.203333333333333,24.01,1,3.0,False,11.73,1
